,ID,type,name,Vermin,stars,votes,safety
165,107145098,Boulder,G&P,V1-2,3.8,5,
166,106608949,Boulder,Bumpis,V3,4.0,1,
167,107422521,Boulder,Octopus's Garden,V3,3.4,13,
172,108446768,Boulder,Frigidaire,V7-,3.7,6,
174,110882351,Boulder,Vivendo,V3,3.8,4,
175,107145080,Boulder,The Sunrise Tango,V3,3.8,4,
177,108129794,Boulder,Bacon Pancakes,V2-3,3.5,8,
178,119160834,Boulder,Botofogo,V3-4,3.6,5,
180,119160763,Boulder,Press On Nails,V4+,3.7,3,
181,120294054,Boulder,Troll’s Toll,V0,3.7,3,
184,107487791,Boulder,Entrance Exam - Sit,V7,3.7,3,
187,106608956,Boulder,Jacked and Tan Traverse,V3-,3.4,7,
190,106490162,Boulder,Stihl,V1-,2.8,19,
191,108863689,Boulder,A.C.L.,V10,3.5,4,
192,108483754,Boulder,Icebox Slab,V0,3.0,14,
193,107514756,Boulder,Nico's Problem,V4,3.5,4,
197,107145069,Boulder,"Mr. Wrinkles, the Irritable Insurance Salesman",V0,3.4,5,
198,107112710,Boulder,Sunshine Slab,V0+,3.3,6,
200,118926319,Boulder,Newt,V4,3.5,2,
201,118818432,Boulder,Koala Corner,V5,3.5,2,
204,107635725,Boulder,The Devils,V2,3.5,2,
205,107992135,Boulder,Soon I Will Be Gone,V7,3.5,2,
207,107145073,Boulder,Detour,V8-9,3.5,2,
209,108021665,Boulder,Royal Arete,V4,3.5,2,
210,106490127,Boulder,Suave,V0,3.1,9,
211,108483761,Boulder,State of the Art,V12,3.3,3,
212,119160866,Boulder,Applicator,V1,3.2,6,
213,108151324,Boulder,Wedgie Roof,V6,3.3,3,
214,110862030,Boulder,McCrae Corner,V3,3.3,3,
216,106526854,Boulder,Gorehound,V0+,2.8,14,
218,108310940,Boulder,Undercarriage,V4,3.0,7,
219,120275810,Boulder,Eager 1,V0,3.3,4,
220,108481539,Boulder,Sunset Delight,V2,3.2,5,
221,107112726,Boulder,Serious as a Schoolgirl,V2,3.3,3,PG13
222,107157194,Boulder,The Old Man Project,V5-6,3.2,5,
224,107429982,Boulder,Leviathan Hunting,V7-,3.3,4,
225,107990556,Boulder,Roadhouse Blues,V6,3.3,4,
226,106769650,Boulder,Mega Mantle,V2+,3.2,5,
227,107429993,Boulder,Snaked,V3-4,3.0,8,
229,106490166,Boulder,Fertloaf,V0,2.6,16,
232,107108120,Boulder,Tiptoe,V1,3.0,5,
235,109933581,Boulder,Tap and Sickle,V5,3.0,4,
238,107109799,Boulder,Uvula,V0+,3.0,4,
239,119271369,Boulder,Tri-Hawk,V7-8,3.0,3,
242,107015822,Boulder,Static Head,V6,3.0,3,
246,107514778,Boulder,Glider,V2,3.0,3,
249,108298191,Boulder,Piss-Off,V1,2.7,9,
