,ID,type,name,Vermin,stars,votes,safety
10118,106210866,Boulder,British Rail,V4,4.0,2,
10119,106922338,Boulder,Slabarific,V1,3.5,11,
10120,108454706,Boulder,Angus,V9,3.7,7,
10121,117356208,Boulder,Super Slick,V3,4.0,1,
10122,117271302,Boulder,Enough Snuff,V7,4.0,1,R
10123,117656827,Boulder,Dragonfly,V6,4.0,1,
10124,112803158,Boulder,The River Styx,V8,4.0,1,
10125,114414259,Boulder,Annual Pass AKA Ass Drag Traverse,V7-8,4.0,1,
10126,117612736,Boulder,Clubbing Baby Seals,V5,4.0,1,
10127,117507814,Boulder,Don's Throw,V6,4.0,1,
10128,117612712,Boulder,Unnamed,V2,4.0,1,
10129,117518294,Boulder,Quinn's Dyno,V1,4.0,1,
10130,117863326,Boulder,House Mantle*,V2+,4.0,1,
10131,115175145,Boulder,Creek Dyno,V3,4.0,1,
10132,111948785,Boulder,Solitude sit,V10,4.0,1,
10133,110651593,Boulder,Handle over Heel,V4,4.0,1,
10134,111948798,Boulder,Crack-Mantel-Sap,V9,4.0,1,R
10135,112008893,Boulder,Da Way,V3,4.0,1,
10136,108068593,Boulder,Chadinator,V7,3.8,5,
10137,108373020,Boulder,Road Kill,V8,4.0,1,
10138,108005223,Boulder,Harry Pothead,V8,4.0,1,
10139,106832023,Boulder,Soul Train,V7,4.0,1,
10140,110471762,Boulder,Pistol Whipped,V3-,4.0,1,
10142,106499140,Boulder,iMac,V4,4.0,1,
10143,113091289,Boulder,Fists of Fury,V7-8,3.6,9,
10144,106228968,Boulder,Short Sloper Traverse,V4,3.4,12,
10145,106505722,Boulder,La Bocha de  Boogy,V3,3.1,18,
10147,106506341,Boulder,Tree Problem,V0-,3.0,21,
10148,108905822,Boulder,Aquaman,V4,3.3,14,
10150,107766420,Boulder,Poorman's Darkhorse (aka Dances with Trees),V6,3.7,6,
10151,108227745,Boulder,Super Chicken,V1,3.7,6,
10152,108911892,Boulder,The Angry Beaver,V8,3.1,18,
10153,107776207,Boulder,The Singularity,V5,3.2,15,
10154,106492586,Boulder,The One,V6,3.2,15,
10155,109089230,Boulder,The Mobius,V4,3.8,4,
10156,108090931,Boulder,Tuna Juice,V6,3.8,4,
10157,108079606,Boulder,Carribean Cocktail,V2,3.8,4,
10158,106922373,Boulder,Time Stands Still,V4,3.8,4,PG13
10159,107203160,Boulder,Patina Line,V2-3,3.6,7,
10160,108358803,Boulder,Tramslot Traverse,V7,3.4,11,
10161,108187033,Boulder,Bonn Scott Memorial Face Problem,V3-4,3.2,14,
10162,106388393,Boulder,Frank's Problem (variation),V2,3.4,10,
10163,108004255,Boulder,Power of Seven,V7,3.5,8,
10164,109290718,Boulder,Unnamed,V3-4,3.5,8,
10165,106488411,Boulder,Problem B,V3,3.4,10,
10166,106831988,Boulder,Hueco Shuffle - Left,V2+,3.4,9,
10167,113128685,Boulder,Free Mason,V5,3.6,5,
10168,110320868,Boulder,Green Hornet Direct,V5,3.6,5,
10169,107176674,Boulder,Problem B,V1,3.6,5,R
10170,107176574,Boulder,Electric Eye,V3,3.7,3,R
10171,108400572,Boulder,Greenpeace (Stand),V8,3.1,15,
10172,113901002,Boulder,House Kung Fu,V5-6,3.7,3,
10173,109064451,Boulder,Morgan Arete,V1,3.7,3,
10175,106502169,Boulder,Buddha Belly,V5,3.7,3,
10176,109064465,Boulder,Capillary Lockdown,V4,3.7,3,
10177,108373129,Boulder,Side Show,V4+,3.7,3,
10178,108090874,Boulder,Atlas,V3,3.7,3,
10179,107202462,Boulder,[Redacted],V6,3.5,6,
10180,106832085,Boulder,Crack Line,V2,3.5,6,PG13
10181,108532671,Boulder,Pit Boss,V7,3.3,9,
10182,106228058,Boulder,Serpentine Ridge,V0-,3.4,7,R
10183,106516841,Boulder,Problem A,V0,3.0,15,
10184,107746076,Boulder,Buck Rodgers Variation,V3,3.1,13,
10186,108454721,Boulder,Malcolm,V6,3.2,10,
10187,107176641,Boulder,Problem A,V0,3.5,4,
10188,106506348,Boulder,Another Tree Problem,V0+,3.0,14,
10189,106516846,Boulder,Problem B,V1,2.9,16,
10190,112009628,Boulder,Year of the Cat,V9-10,3.4,5,
10191,112008925,Boulder,Left Gold Crack,V3,3.4,5,
10192,107746149,Boulder,Rufus,V5,3.3,8,
10193,109121915,Boulder,Master Blaster,V8,3.4,5,
10194,108227750,Boulder,Tom Slick,V2,3.4,5,
10195,108186238,Boulder,Hold Your Fire,V6-7,3.4,5,
10196,108090866,Boulder,Pleione,V2,3.4,5,
10197,108229705,Boulder,I-Flop,V6,3.4,5,
10198,106488420,Boulder,Problem C,V2,3.1,11,
10199,111978994,Boulder,Roof Problem,V1,3.3,6,
10200,108526185,Boulder,Unnamed V7,V7,3.3,7,
10201,113040778,Boulder,Paper Dragon,V10,3.5,2,
10202,111992772,Boulder,The Wave,V5,3.5,2,
10203,108343869,Boulder,The World's Hardest V2,V1,3.0,12,
10204,109595272,Boulder,Rock Candy Arete,V0,3.5,2,
10205,109083347,Boulder,Dyno Problem,V4,3.5,2,
10206,108610353,Boulder,Beige,V2,3.5,2,
10207,107218961,Boulder,Marc's Variation,V4,3.5,2,
10208,107818978,Boulder,Unnamed,V3,3.5,2,
10209,106832079,Boulder,El Diablo,V5,3.5,2,PG13
10210,106486659,Boulder,Tourist Remover,V3+,2.9,13,
10211,108004289,Boulder,Hoch Mantel,V4,3.1,9,
10212,106486668,Boulder,Tourist Zone,V0+,2.6,19,
10213,108227757,Boulder,Unknown,V3,3.1,8,
10215,112009074,Boulder,Reverse Traverse,V4,3.1,7,
10216,112803133,Boulder,Soul Caliber,V7,3.3,3,
10217,108167476,Boulder,Snake Eyes,V4,3.1,7,
10219,106488364,Boulder,Problem A,V3,3.3,3,
10220,105997092,Boulder,Rob's Seam,V4,3.3,3,
10221,113079882,Boulder,Posse (Right Variation),V6,3.2,5,
10222,108865602,Boulder,Bolo,V4-,3.3,4,
10223,108195591,Boulder,Problem A,V3,3.3,4,
10224,106502165,Boulder,Iceberg Arete Direct,V1,3.2,5,
10225,106516862,Boulder,Problem D,V0+,2.8,11,PG13
10226,106875649,Boulder,Ledgestone,V0,2.6,16,
10227,112066083,Boulder,Humpin' the Whale,V3,3.0,7,
10228,108004621,Boulder,Slitherin,V5-,3.0,7,
10229,106492567,Boulder,Jet Li,V0,3.0,7,R
10230,107176503,Boulder,Glass Slippers,V4,3.0,7,
10231,106505729,Boulder,Samba,V2+,2.6,14,
10232,106866899,Boulder,Space Crack,V1,2.7,13,
10233,107674945,Boulder,Dyno Problem,V2,2.9,9,
10234,106922176,Boulder,Hueco Shuffle - Direct,V3,3.0,6,
10235,106875624,Boulder,Gumby Traverse,V2,2.8,10,
10236,106866886,Boulder,The Ledge Traverse,V1+,2.8,10,
10237,109051560,Boulder,Slumpback of Notre Dame,V1,2.9,8,
10238,106832296,Boulder,Paul's Cock,V3-,2.3,19,
10239,107241980,Boulder,Methane Direct,V4,3.0,5,
10240,107176757,Boulder,Problem A,V1,3.0,5,
10241,112109868,Boulder,Thin White Duke,V2,3.0,4,
10243,108068646,Boulder,Flaming Lip Traverse,V2,3.0,4,
10244,106875729,Boulder,Bored Walk,V3,3.0,4,
10245,106516853,Boulder,Problem C,V3,2.7,10,
10246,107215801,Boulder,Crossfire,V3-,2.5,13,
10247,113756820,Boulder,The Cackler,V9,3.0,3,
10249,109051564,Boulder,Not a Flowmaster,V5+,3.0,3,
10250,109090818,Boulder,The Mobius Direct,V5,3.0,3,
10251,109089248,Boulder,Daniels Overhang,V5-,3.0,3,
10252,109089188,Boulder,Kinesthesia,V5,3.0,3,
10253,108195577,Boulder,E.Z Right,V2,3.0,3,PG13
10254,108072169,Boulder,Chimney Rock Traverse,V3,3.0,3,
10255,108195628,Boulder,Electra,V3-,3.0,3,
10256,107776216,Boulder,Serpentine,V0-,3.0,3,
10257,107176764,Boulder,Problem A Sit Start,V3,3.0,3,
10258,108771427,Boulder,Unnamed V4,V4,2.8,6,
10259,108079628,Boulder,Poorman's Traverse,V1,2.8,6,
10260,106494227,Boulder,Chai Tea,V1+,2.8,6,
10261,117278632,Boulder,Ride the Llama,V3-,3.0,2,
10262,112809664,Boulder,Soul Shine,V10,3.0,2,
10263,117342940,Boulder,Rubix Cube,V3,3.0,2,
10264,112821688,Boulder,Hesitation Factor,V7,3.0,2,
10265,117374358,Boulder,Butt Dragon Traverse,V3,3.0,2,
10266,109423982,Boulder,Paul's Cock Rocks,V3,3.0,2,
10267,113410243,Boulder,Gold Rush,V4,3.0,2,
10268,113200353,Boulder,Enter the Dragon,V5,3.0,2,
10269,112918458,Boulder,Moonwalker,V3,3.0,2,
10270,109105448,Boulder,The Organ Grinder,V5,3.0,2,
10271,108169026,Boulder,Imperfect Circle,V5,3.0,2,
10272,109083035,Boulder,Big Ballz,V3,3.0,2,
10273,108532679,Boulder,Under the Boardwalk,V5,3.0,2,
10274,108186211,Boulder,Mortal Kombat,V5,3.0,2,
10275,108167419,Boulder,Roll the Bones,V6,3.0,2,
10276,107176786,Boulder,Problem B,V0,3.0,2,
10277,106875679,Boulder,Warmer-Upper Left,V0,3.0,2,
10278,107176747,Boulder,Problem B,V0,3.0,2,
10279,106832197,Boulder,Problem B,V2,3.0,2,
10280,106191279,Boulder,Fire' Farts,V1,3.0,2,
10281,106211640,Boulder,The Green Room,V2,3.0,2,
10282,106201913,Boulder,The Wormhole,V3,3.0,2,
10283,106201968,Boulder,Vulpecula,V2,3.0,2,
10285,106832031,Boulder,Busta Move,V4,2.7,7,
10286,117111001,Boulder,Obe Problem Right,V5-6,3.0,1,
10287,117283333,Boulder,The Right Hand of Todd,V2+,3.0,1,
10288,117283324,Boulder,The Left Hand of Todd,V3,3.0,1,
10289,117507789,Boulder,Flying Guillotine,V6+,3.0,1,
10290,117563361,Boulder,The Rhino,V7,3.0,1,
10291,117612650,Boulder,Dyno Problem,V4,3.0,1,
10292,117602136,Boulder,Pain,V2-3,3.0,1,
10293,117563265,Boulder,Demolition Man,V7,3.0,1,
10294,117124826,Boulder,Unnamed,V4,3.0,1,
10295,117507778,Boulder,False Guillotine,V3,3.0,1,
10296,117612686,Boulder,Unnamed,V2-,3.0,1,
10297,117102103,Boulder,Creek Problem,V2-3,3.0,1,
10298,117283301,Boulder,Holez,V0,3.0,1,
10299,117507819,Boulder,Unnamed,V1,3.0,1,
10300,117507720,Boulder,Unnamed,V0,3.0,1,
10301,117612758,Boulder,Unnamed,V2-,3.0,1,
10302,112501828,Boulder,Trail Side Boulder,V1-2,3.0,1,
10303,115405855,Boulder,Medusa,V6,3.0,1,
10304,117507732,Boulder,Unnamed Traverse,V1,3.0,1,
10305,113520319,Boulder,Flash Gordon Traverse (The Joshinator),V8,3.0,1,
10306,112009438,Boulder,The Undone Greg Loh Project,V8,3.0,1,
10307,115688410,Boulder,But of Quartz,V2,3.0,1,
10308,114316572,Boulder,Sanchez Seam,V5,3.0,1,
10309,111992801,Boulder,Nada III,V3,2.8,5,
10310,110651691,Boulder,Mast scale,V1,3.0,1,
10311,111979072,Boulder,Methamphetamine,V7,3.0,1,
10312,108227736,Boulder,George of the Jungle,V7,3.0,1,
10313,113410374,Boulder,Fool's Gold,V5,3.0,1,
10314,110651681,Boulder,Two Cones Hung Low,V1+,3.0,1,
10315,112108174,Boulder,Plank Walk,V4,3.0,1,
10316,113091696,Boulder,Unnamed,V3,3.0,1,
10317,108821509,Boulder,Deception,V7,3.0,1,
10318,112115876,Boulder,Donkey Show,V2-,3.0,1,
10319,110653511,Boulder,Patinias,V1,3.0,1,
10320,110451581,Boulder,Don's Overhang,V4,3.0,1,
10321,109290737,Boulder,NippleShredder,V5,3.0,1,
10322,109121923,Boulder,"Fly, Robin Fly",V6,3.0,1,
10323,108846730,Boulder,Moldy Cheese,V2,3.0,1,
10324,109565943,Boulder,Colonel Angus,V3,3.0,1,
10325,109565957,Boulder,Colonel Angus Left,V0,3.0,1,
10326,110732467,Boulder,Split,V3,3.0,1,
10327,109565893,Boulder,One Be Low,V3+,3.0,1,
10328,108055430,Boulder,Variation Morgans Arete,V3-,3.0,1,
10329,110471823,Boulder,Razor's Edge,V3+,3.0,1,
10330,110471807,Boulder,Quartz Face,V0+,3.0,1,
10331,109554772,Boulder,Waterlou,V3,3.0,1,
10332,110471613,Boulder,White Face,V3,3.0,1,
10333,108195566,Boulder,One Handed Mantle,V5,3.0,1,
10334,108104862,Boulder,The Cavity,V7,3.0,1,
10335,108369953,Boulder,Darth Croofer,V0,3.0,1,
10336,107818955,Boulder,Highball Jugs,V0,3.0,1,R
10337,108452726,Boulder,Unnamed,V8,3.0,1,
10338,106488389,Boulder,Greasefire - Right Variation,V5,3.0,1,
10339,109566066,Boulder,Jug or Not,V4+,3.0,1,
10340,108104878,Boulder,Carlton's Variation,V6,3.0,1,
10341,109566079,Boulder,Unknown,V3+,3.0,1,
10342,108369935,Boulder,Moo,V3,3.0,1,
10343,108257917,Boulder,Unnamed V3,V3,3.0,1,
10344,108073820,Boulder,Kentucky Fried Brit,V4,3.0,1,
10345,108090947,Boulder,Starkist,V6,3.0,1,
10346,107767887,Boulder,Alphabet Soup,V0-,3.0,1,
10347,107176697,Boulder,Ruby Slippers,V0+,3.0,1,
10348,107176708,Boulder,Problem A,V3+,3.0,1,
10349,106229008,Boulder,Pinch Me,V2,3.0,1,PG13
10350,106861328,Boulder,Catwalk,V0,3.0,1,
10351,106922310,Boulder,The Patriot,V2,3.0,1,
10352,105997097,Boulder,Conquest Direct,V7,3.0,1,R
10353,106832337,Boulder,Hinge,V3,3.0,1,
10354,106867335,Boulder,Liquid Logic,V0,3.0,1,
10355,105997142,Boulder,Knobby Face,V2-3,3.0,1,
10356,106486578,Boulder,Tourist Treat,V0,2.6,9,
10357,107698382,Boulder,Dike Line Direct,V1+,2.8,4,PG13
10358,108079700,Boulder,Plastic Man,V1,2.7,6,
10359,108090900,Boulder,Alcyone,V0-,2.7,6,
10360,106494262,Boulder,Kung Fu Grip,V3+,2.7,6,
10361,106875662,Boulder,Warmer-Upper Right,V0,2.7,6,
10362,108090838,Boulder,Center,V1,2.8,4,
10363,107280908,Boulder,Mantle Midget,V3,2.8,4,
10364,107176605,Boulder,Problem A,V3,2.4,9,
10365,108079646,Boulder,Poorman's Slashface,V0,2.6,5,
10366,107204624,Boulder,E.Z. Left,V1,2.6,5,
10367,108343884,Boulder,Warm up  3,V0,2.6,5,
10368,108089430,Boulder,Left,V1,2.6,5,
10369,106228039,Boulder,Rotting Cheese,V0,2.7,3,PG13
10370,106486592,Boulder,Tourist Trap,V0+,2.6,5,
10371,116234431,Boulder,Fists of Fury Direct,V5-6,2.7,3,
10372,113901010,Boulder,House Arête (Unnamed),V3,2.7,3,
10373,112066068,Boulder,Limbo,V2,2.7,3,
10374,109595442,Boulder,Oblivion,V7,2.7,3,
10375,108186221,Boulder,Rumble in the Bronx,V1,2.7,3,
10376,108195601,Boulder,Problem C,V1,2.7,3,
10377,106922384,Boulder,Somewhere In Time,V0,2.7,3,PG13
10378,107674933,Boulder,Right Arête,V1,2.5,6,
10379,106486633,Boulder,Just Another Trailside Attraction,V4,2.4,7,
10380,107215834,Boulder,Green Lantern,V1+,2.4,8,
10381,107746013,Boulder,Theatre of the Absurd,V3,2.5,4,
10382,108229957,Boulder,Last Man Standing,V2,2.5,4,
10383,108167494,Boulder,Snake Eyes Direct,V2,2.5,4,
10384,106494232,Boulder,Thai Chi,V2,2.4,5,
10386,111992782,Boulder,Unnamed Arete,V3,2.5,2,
10387,111948791,Boulder,Chimney,V0+,2.5,2,
10389,109046084,Boulder,Da Block,V4,2.5,2,
10390,106496917,Boulder,Wu Tang Clan,V0,2.5,2,
10391,107776255,Boulder,Ricks Dyno,V2,2.5,2,
10392,106189206,Boulder,Floyd E. Queeb,V0,2.5,2,
10393,107176624,Boulder,Problem A,V0,2.5,2,
10394,106495161,Boulder,Raspoutine,V2,2.5,2,
10395,106502173,Boulder,Go with the Floe,V1,2.5,2,
10396,106201353,Boulder,Entropy,V1,2.5,2,
10397,106486163,Boulder,March Madness,V1,2.3,3,R
10398,106824988,Boulder,Problem J,V0-,2.2,6,
10399,107746020,Boulder,The Uninspired,V3,2.2,5,
10400,106824791,Boulder,Problem H,V0-,2.2,5,
10401,111992796,Boulder,Campus Problem,V1-2,2.0,5,
10402,107776231,Boulder,The Maltese Chicken,V2,2.0,5,
10403,108343876,Boulder,Warm up  2,V0-,2.0,4,
10404,112045163,Boulder,Unnamed Arete,V4,2.0,3,
10405,108195596,Boulder,Problem B,V2,2.0,3,
10406,106922361,Boulder,Slabalicious,V2,2.0,3,
10407,106201314,Boulder,Elasticity,V5,2.0,3,
10408,106191275,Boulder,Blind Hog,V1,2.0,3,
10411,113040642,Boulder,A Kingdom in a Princess,V6,2.0,2,
10412,106824753,Boulder,Bam Bam,V1,2.0,2,
10413,107204644,Boulder,Electric Dimension,V1,2.0,2,
10414,106485906,Boulder,Don's Dyno (No. 3),V4,2.0,2,
10415,106867318,Boulder,Mystery Move,V0,2.0,2,
10416,106485942,Boulder,Treebeard,V1,2.0,2,
10417,106201337,Boulder,Cassieopeia,V0,2.0,2,
10418,106199705,Boulder,Dynamo Hum,V0,2.0,2,
10419,106199720,Boulder,The 19th Hole,V4,2.0,2,
10420,106210815,Boulder,It's Another Route,V0,2.0,2,
10421,106210837,Boulder,Play Off,V2,2.0,2,
10422,106201373,Boulder,Cepheus,V2,2.0,2,
10423,106201960,Boulder,Messylepica,V0,2.0,2,
10424,106212178,Boulder,The Longest Barrel Ride,V3,2.0,2,
10425,117124701,Boulder,"Unitizing the ""G""",V8,2.0,1,
10426,117507797,Boulder,Unnamed,V4,2.0,1,
10427,117591229,Boulder,Aquaman Variation,V4-5,2.0,1,
10428,114466013,Boulder,Problem N,V0+,2.0,1,
10429,113700856,Boulder,Yellow Bruce Lee Tags (at the back of the gym),V5,2.0,1,
10430,111982776,Boulder,Clawing at the Belly of the Beast,V8,2.0,1,
10431,113264483,Boulder,Arabian Battle Trill,V5,2.0,1,
10432,111981773,Boulder,Meth Lab,V9,2.0,1,
10433,113200812,Boulder,Unknown (Chuck Norris),V0-1,2.0,1,
10434,112045171,Boulder,Unnamed Crack,V3-,2.0,1,
10435,113200361,Boulder,Exit the Tiger,V2,2.0,1,
10436,111992792,Boulder,The Rasp,V6,2.0,1,
10437,110657351,Boulder,Parlor Tricks,V1+,2.0,1,
10438,112000864,Boulder,Flex,V1,2.0,1,
10439,112048615,Boulder,Goldie,V2,2.0,1,
10440,112000845,Boulder,Unnamed,V0,2.0,1,
10441,109595472,Boulder,Won't Back-Off,V3,2.0,1,
10442,109595465,Boulder,Chad's Problem,V6,2.0,1,
10443,109595306,Boulder,Umbra,V5,2.0,1,
10444,109105425,Boulder,Hurdy Gurdy Man,V3-4,2.0,1,
10445,109595311,Boulder,Misery,V7,2.0,1,
10446,110471555,Boulder,Problem A,V0,2.0,1,
10447,110471837,Boulder,Offwidth Outlaw,V1,2.0,1,
10448,109595279,Boulder,Arete,V3,2.0,1,
10449,107746128,Boulder,Mulligan Crack,V2+,2.0,1,
10450,110471814,Boulder,Problem A,V0,2.0,1,
10451,110471630,Boulder,White Face Right Arete,V0,2.0,1,PG13
10452,108343894,Boulder,Unknown v1,V1,2.0,1,
10453,108821628,Boulder,Ricki Ticki,V4,2.0,1,
10454,108195610,Boulder,Flaming Lip,V1,2.0,1,
10455,106070976,Boulder,Seven Spanish Angels (aka The Ruckus),V6,4.9,231,
10456,106068943,Boulder,Strength in Numbers (Original SIN),V5,4.9,141,
10457,105996532,Boulder,Heavenly Path,V1,4.7,536,PG13
10458,105988462,Boulder,The Hulk,V6,4.7,262,
10459,106996981,Boulder,Black Magic,V3,4.7,129,R
10460,105936763,Boulder,Iron Man Traverse,V4,4.6,414,
10461,106126733,Boulder,Mister Witty,V6,4.6,121,PG13
10462,106126755,Boulder,Every Color You Are,V6,4.6,130,
10463,106130698,Boulder,Buttermilk Stem,V1,4.5,336,
10464,106054139,Boulder,Ketron Classic,V4,4.6,357,
10465,106273867,Boulder,The Pursuit of Wow,V0,4.5,114,PG13
10466,106094747,Boulder,Molly,V5,4.4,174,
10467,106731640,Boulder,The Fang,V4,4.4,177,
10468,106052564,Boulder,Serengeti,V5,4.3,335,
10469,106617251,Boulder,China Doll,V0,4.3,193,
10470,106100119,Boulder,Corner Route,V0+,4.3,144,
10471,105943524,Boulder,Solarium,V4,4.2,449,
10472,106079188,Boulder,Thunder,V3,4.4,77,
10473,106330624,Boulder,The Clapper,V6,4.2,90,
10474,106044386,Boulder,Atari,V6,4.8,66,R
10475,106099405,Boulder,The Gleaner,V6,4.1,84,
10476,105988476,Boulder,Weekender,V4,4.1,170,
10477,106554779,Boulder,French Press,V6,4.5,71,
10478,106331180,Boulder,Cue Ball,V4,4.1,89,
10479,106093004,Boulder,Celestial Trail,V0-,4.0,287,PG13
10480,105988465,Boulder,Big Chicken,V4,4.0,95,
10481,107408757,Boulder,Jug Start to Acid Wash Right,V7,4.0,100,
10482,106126702,Boulder,Carrot Top,V3,4.0,191,
10483,106086687,Boulder,Slight Inducement,V1,3.9,126,
10484,106272979,Boulder,Not The Clapper,V1+,4.2,74,
10485,106093108,Boulder,Slap Happy,V3,3.9,165,
10486,107007903,Boulder,Son of Claudius Rufus,V5,3.8,131,
10487,106996368,Boulder,Rio's Secret Arete,V3,4.8,61,
10488,105799647,Boulder,Monkey Hang,V3,3.8,278,
10489,106052632,Boulder,Bleached Bones,V4,3.8,157,
10491,107006182,Boulder,The Flying Zebra,V4,4.5,66,
10492,106054156,Boulder,Kling and Smirk,V2+,3.7,122,
10493,106279726,Boulder,Rene,V5,4.7,61,PG13
10494,106079500,Boulder,Chizam,V5,3.7,80,
10495,106093012,Boulder,Cross Roads,V0+,3.7,80,
10496,107504667,Boulder,Ain't But the One Way,V0+,3.7,80,
10497,106617219,Boulder,Anti-Hero,V5,4.3,68,
10498,106340978,Boulder,Mothership Connection,V4,4.3,67,
10499,106131992,Boulder,Grant's Christmas Present,V1,3.6,140,
10500,106275477,Boulder,Beer Tumor,V3,3.6,89,
10501,106132012,Boulder,Marty Lewis's Ever Changing Hair Line,V2,3.6,103,
10502,106093047,Boulder,Donkey Boy,V0+,3.5,94,PG13
10503,106093121,Boulder,Pirate Booty,V3,3.4,113,
10504,106381928,Boulder,Rave,V7,4.1,65,
10505,106068479,Boulder,Pow Pow,V8,4.5,55,
10506,106275488,Boulder,Beer Tumor Right,V4,3.7,71,
10507,106093061,Boulder,Groundwater,V5,3.2,90,
10508,106126697,Boulder,Sucker Punch,V5,3.7,70,
10509,106915496,Boulder,"Whiskey, Beer and Spliff Hits for Breakfast",V4,4.5,54,
10510,106130507,Boulder,Happy Hooker,V0+,3.1,130,
10511,106093021,Boulder,High Road,V0,3.1,96,PG13
10512,106068458,Boulder,Action Figure,V6,3.9,63,
10513,106054174,Boulder,Morning Dove White,V7+,4.7,46,
10514,106642831,Boulder,Prozac Nation,V2,4.0,58,
10515,106340969,Boulder,Rio's Crack,V6,4.6,47,
10516,106086677,Boulder,Secret to Success,V1+,3.5,67,
10517,106079179,Boulder,Kredulf,V4,4.7,43,
10518,106086090,Boulder,I Killed a Man A Man Who Looked Like me,V1,3.7,62,
10519,106079071,Boulder,Skye Dance,V6,4.8,40,
10520,109660346,Boulder,Big Chicken Stand,V2,3.8,60,
10521,106086157,Boulder,Wavy Gravy,V2,3.5,66,
10522,106275404,Boulder,Classique,V0+,3.9,54,PG13
10523,106130495,Boulder,Comfort of Home,V2-3,3.3,65,
10524,107178492,Boulder,The Great Dominions,V1,3.2,65,
10525,106086128,Boulder,Western Round Up,V1,3.0,70,
10526,106068472,Boulder,Fueled By Hate,V5,3.8,54,
10527,107898134,Boulder,The French Connection,V6,4.6,38,
10528,105988471,Boulder,Disco Diva,V8,4.5,38,
10529,107205673,Boulder,Arch Drude,V5-,4.8,30,
10530,106132031,Boulder,Duck Soup,V0-,3.0,66,
10531,107029691,Boulder,Acid Wash Right,V9,4.1,42,
10532,106617419,Boulder,Molly Dyno,V4-5,4.0,43,
10533,107029681,Boulder,Acid Wash,V9-10,4.3,36,
10534,106099420,Boulder,Joseph,V3,3.3,55,
10535,106326756,Boulder,Sixty Foot Woman Traverse,V2,4.0,42,
10536,106997445,Boulder,Totty Traverse,V1,3.8,45,
10537,105799656,Boulder,Rendezvous With an Alien,V3-,3.4,52,
10538,106108543,Boulder,World Shut Your Mouth,V2,3.6,48,
10539,108091202,Boulder,Safesurfer,V3,3.3,53,
10540,106322799,Boulder,Erotic Terrorist,V5-6,3.6,48,
10541,106331162,Boulder,Spinal Snap,V2,3.9,42,
10542,106331143,Boulder,Althea,V0,4.0,39,PG13
10543,106132901,Boulder,Mmm... Nice,V0-,3.0,59,
10544,107490517,Boulder,Mr. Happy,V5,3.7,44,
10545,106275471,Boulder,Headbangers Ball,V1,3.0,58,
10546,107032817,Boulder,All-Nighter,V3,3.6,45,R
10547,107018161,Boulder,The Space Suit,V3,3.8,41,
10548,106273750,Boulder,Problem B,V1,3.3,49,
10549,108010732,Boulder,Hard Crack,V2,4.6,23,
10550,106131960,Boulder,Any Which Way,V0+,2.9,58,
10551,107566457,Boulder,Mothers,V0,3.4,47,
10552,106340940,Boulder,Lawnmower Man,V7,4.9,16,
10553,107032693,Boulder,Blood Kin,V1,4.5,24,
10555,108559707,Boulder,Arch Drude (Left Start),V5,4.9,17,
10556,106954482,Boulder,The Groove,V0,4.1,32,
10557,106055538,Boulder,Burning Rubber Necklace,V4,4.1,32,
10558,106275435,Boulder,Sunburst Seahorse,V2,3.7,39,
10559,106273815,Boulder,Grindrite,V3,3.9,35,
10560,106131986,Boulder,Swing Your Partner,V1,3.0,53,
10563,106272971,Boulder,Pig Pen,V2,3.4,44,
10564,106617845,Boulder,Loaded,V1,3.5,42,
10565,106054889,Boulder,My Heart Grew Wings Under Desert Skies,V4,4.4,23,PG13
10566,106340949,Boulder,Los Locos,V7,5.0,10,
10567,106068510,Boulder,Beefcake,V10,4.2,25,
10568,106999123,Boulder,Strange Quotations,V0+,3.7,36,
10569,106132929,Boulder,Up Your Skirt Left,V2,3.1,48,
10570,106997340,Boulder,Done With The South,V5,4.2,26,PG13
10571,109757452,Boulder,Standing Kill Order,V10,4.7,14,
10572,106068419,Boulder,Highbrow,V7-8,4.8,12,R
10573,109757458,Boulder,Kill On Sight,V11,5.0,8,
10574,107203666,Boulder,Hook Line and Sinker,V5,4.1,26,
10575,106642880,Boulder,Fire Pit,V2,4.2,25,PG13
10576,106095529,Boulder,Professional Widow,V4-,4.9,10,
10577,105988468,Boulder,Vulcan Crawl,V5,4.0,27,
10578,109947791,Boulder,Not Another Brit in Bishop,V7,4.1,25,
10579,107064190,Boulder,Paranormal in the West Country,V1,3.0,47,PG13
10580,106086122,Boulder,Beam Me Up Scottie,V2,3.5,37,
10581,106273755,Boulder,Problem C,V2,3.5,36,
10582,106337264,Boulder,Wills Arete,V5,4.0,25,
10583,106952969,Boulder,Karma,V6+,4.1,23,
10584,106322946,Boulder,Cayla,V7,4.8,9,
10585,106108534,Boulder,Head Heritage,V3,3.1,42,
10586,106617237,Boulder,Maximum Relaxum,V3,3.9,27,
10587,106322827,Boulder,Cream Horn,V4,5.0,4,
10588,107203672,Boulder,Suspenders,V5,4.1,22,
10589,106068491,Boulder,Slunk,V9,4.6,11,
10590,106642859,Boulder,Garden Pest,V0+,3.9,26,
10591,112475705,Boulder,Zero Roof,V0,3.5,33,
10592,108924212,Boulder,Goldfish Trombone,V14,5.0,3,
10593,106070985,Boulder,Less Poetry Please,V8,5.0,3,
10594,107018232,Boulder,Girl Call,V0,3.5,32,
10595,106129137,Boulder,Last Dance,V9,3.7,28,
